duration_hours,lead_time_hours,zone_center,severity_score,gender_pref,min_rating_required,demand_supply_ratio,service,service_air_conditioner_repair,service_aircond_cleaning,service_carpet_cleaning,service_ceiling_repair,service_curtain_or_blind_installation,service_deep_cleaning,service_door_lock_repair,service_electrical_repair,service_electrical_safety_check,service_fire_extinguisher_servicing,service_furniture_assembly,service_gardening,service_gas_leak_detection,service_general_house_cleaning,service_home_organizing,service_house_moving,service_kitchen_remodeling,service_large_item_delivery,service_lawn_mowing,service_minor_welding_jobs,service_mounting,service_painting_touch_up_work,service_plumbing_services,service_post_renovation_cleaning,service_refrigerator_repair,service_roof_or_gutter_cleaning,service_small_item_delivery,service_sofa_or_mattress_cleaning,service_tiling_flooring,service_tree_cutting,service_washing_machine_repair,base_rate,price,order_placed,task_accepted,task_completed
5,145.78966482608666,1,3,0,0.0,1.8608725300998372,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,312.39,1,1,1
4,55.65169993133129,1,2,0,4.5,0.6596140579419989,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,209.47,1,1,1
1,147.4515716609265,0,3,1,0.0,1.7983460829335232,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,72.94,1,1,1
3,140.7593600583059,1,0,1,0.0,2.7554260605366645,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,73.89,1,1,1
5,159.4308831207461,1,1,1,0.0,2.6436839014090108,Fire Extinguisher Servicing,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,241.55,0,0,0
3,115.73395000327189,0,0,1,0.0,1.9207447915685627,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,94.77,1,1,1
5,52.471375020916064,1,2,1,0.0,2.8374387427594097,Electrical Safety Check,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,395.73,1,1,1
1,83.81031563530078,0,2,1,4.0,2.8601015040305096,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,86.65,1,1,1
1,38.73007782008954,0,3,1,4.0,1.147108064042608,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,81.25,1,1,1
3,88.39963626898246,1,1,1,4.5,1.7106055413493544,Large Item Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,36,99.61,1,0,0
5,161.08725263691315,0,0,0,0.0,2.2031943471359896,Air Conditioner Repair,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,266.18,1,1,1
5,120.00926063170883,1,3,1,4.5,2.859373850735992,Air Conditioner Repair,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,677.93,1,1,1
3,161.40228517773997,0,0,1,4.0,2.8477445237552863,Kitchen Remodeling,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85,156.3,1,1,1
3,164.44105268059417,0,2,0,4.5,2.526488761317423,General House Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,86.05,0,0,0
1,117.97536994798892,0,1,1,4.0,1.6670446982568172,Small Item Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,20,36.18,0,0,0
2,29.500588967197185,1,1,1,0.0,2.949663489605563,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,174.08,1,1,1
4,122.50601470751704,1,0,1,0.0,2.973178668936131,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,137.83,1,1,1
3,39.41351877351195,0,1,1,4.5,0.7042872021724964,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,104.72,1,1,0
2,114.79867516606215,1,0,0,0.0,0.6313448550797516,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,47.68,1,1,1
4,118.11822141744119,1,1,1,0.0,0.9576291915222006,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,168.21,1,1,1
2,101.70989667088686,1,0,0,0.0,2.2050520895773427,Electrical Safety Check,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,77.87,1,1,0
2,77.89764541637966,0,0,0,4.0,2.537637028916062,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,58.62,1,1,1
5,128.15277696745144,1,2,1,0.0,1.0183767569743982,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,255.84,1,1,1
1,91.50202765884913,1,1,0,0.0,2.1891240469907434,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,105.53,0,0,0
3,66.75234364211614,1,2,1,4.0,0.8146565358148026,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,96.49,1,1,1
1,34.11248945771587,0,3,1,0.0,0.5564826366024938,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,54.15,1,1,1
1,16.510049909922706,0,3,1,0.0,2.299772506489076,Home Organizing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,69.51,0,0,0
4,105.89793704697415,0,0,1,4.0,1.333346253756315,Fire Extinguisher Servicing,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,158.46,1,1,1
4,158.7315527507393,0,0,0,4.0,2.702473303120272,Home Organizing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,84.02,1,1,1
3,80.58546451328867,1,1,1,4.0,2.2380961980772467,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,121.32,1,1,1
2,37.080924277194846,0,3,0,4.5,2.2304120085822245,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,169.41,1,1,1
3,29.47599606559222,0,3,1,4.0,2.223633847492522,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,282.43,0,0,0
2,94.41616237143361,1,0,0,0.0,1.5222737810947466,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,83.98,0,0,0
1,135.43017099031962,0,2,0,0.0,2.7150243697030843,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,124.98,0,0,0
5,6.300082253863333,0,3,1,0.0,2.9245937658121424,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,256.57,0,0,0
2,99.0391315794101,0,0,1,4.0,1.8313882747778318,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,78.28,1,1,1
2,63.779053951121256,1,3,0,0.0,2.856546774198502,General House Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,129.78,0,0,0
4,167.39190192152824,1,2,0,0.0,2.4642143326168955,Fire Extinguisher Servicing,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,241.68,0,0,0
2,97.4349895963856,1,1,0,0.0,1.2163824852313072,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,90.42,1,0,0
2,71.66515605773156,0,2,1,4.0,1.88251596749729,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,200.49,0,0,0
2,14.815424727503492,1,1,1,4.5,1.3672110569576308,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,115.62,1,1,1
5,67.06803144466001,0,0,1,0.0,0.829370635857871,Curtain or Blind Installation,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,106.09,0,0,0
2,116.56211462042913,0,1,0,0.0,2.347397789481096,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,129.82,0,0,0
3,80.79297931660955,1,0,1,4.5,1.7291083763124702,House Moving,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,118.17,1,1,1
3,18.041853868004637,0,1,0,0.0,2.912839696561357,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,118.51,0,0,0
4,97.85907716635909,0,1,1,0.0,1.0998076732037425,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,170.75,1,1,1
5,51.55975660150056,1,2,1,0.0,0.9319481567121097,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,223.45,1,1,1
3,121.53865379983283,1,3,1,4.5,2.8874950017972076,Home Organizing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,121.77,0,0,0
1,134.22921453715227,1,3,1,0.0,0.5499302007086644,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,46.32,0,0,0
2,109.76672436656654,0,1,1,0.0,1.3130443994025924,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,93.98,1,1,1
5,101.47665413059283,1,1,0,4.5,1.6031194015290804,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,219.16,0,0,0
4,74.57455614604712,0,3,1,0.0,2.422530687601833,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,219.01,1,1,1
2,128.2384888603911,1,3,0,0.0,0.800227990777503,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,94.25,1,1,1
3,26.062295552843086,0,3,0,5.0,0.9980765645453833,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,176.76,0,0,0
3,142.2305957814633,0,3,0,0.0,2.0659850409610123,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,120.67,0,0,0
2,135.6892138565114,1,1,0,0.0,0.533233691965589,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,109.37,1,1,1
5,71.46941785747907,0,1,1,4.0,1.8277718175730029,General House Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,151.6,0,0,0
1,163.64437718123386,0,2,1,0.0,1.3201339066178446,Deep Cleaning,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,63.22,0,0,0
4,47.03339952908009,1,3,1,0.0,2.9557009970243855,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,333.21,1,1,1
3,123.6112053619753,1,2,0,0.0,0.9279538537499374,Roof or Gutter Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,147.95,0,0,0
1,87.27240465841896,0,1,1,4.0,2.5495693093947964,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,83.03,1,1,1
4,114.44428256457383,0,3,0,4.5,2.638070184752765,Post-Renovation Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,60,543.42,0,0,0
1,86.00027669325499,0,2,0,4.0,2.127987673632529,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,117.83,0,0,0
2,45.45864797979112,1,3,1,0.0,1.2273980702894933,Post-Renovation Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,60,277.25,0,0,0
2,159.2170478154225,0,1,0,4.0,2.3426674060135353,Kitchen Remodeling,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85,206.26,1,1,1
5,129.5826420945244,1,0,1,0.0,1.9886828978406794,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,209.45,1,0,0
5,104.0387509147311,0,2,0,0.0,1.4056910730002679,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,391.98,1,1,1
2,120.85973009202618,1,2,0,0.0,1.3246718524970182,Tiling & Flooring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,72,271.43,0,0,0
1,66.17486819150352,0,1,1,4.5,1.5671099423603159,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,87.97,1,1,1
5,157.26470737173673,1,0,1,4.0,2.722410012582939,Air Conditioner Repair,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,307.02,1,0,0
5,62.54461449987546,0,3,0,0.0,0.6637263884533977,Refrigerator Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,273.79,1,1,1
1,68.00412953109858,1,2,1,4.5,1.0855253035885148,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,69.71,0,0,0
4,126.60444997406886,0,1,0,4.0,1.2991747739569786,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,272.48,0,0,0
2,137.55680730042644,0,2,1,4.0,1.6270436896731815,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,159.36,1,1,1
4,128.7830792509851,0,2,0,4.5,2.5808099251357706,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,160.65,1,1,1
3,7.462468095795696,1,2,1,5.0,1.1836900819414213,General House Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,176.86,0,0,0
2,141.3536202855535,1,0,1,0.0,2.8458396341433927,Electrical Safety Check,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,85.82,1,1,1
3,5.370337034432337,0,0,1,0.0,2.300396584321361,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,119.33,1,1,1
4,90.1156376322474,0,0,0,4.5,1.1958443434221362,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,148.58,1,1,1
