duration_hours,lead_time_hours,zone_center,severity_score,gender_pref,min_rating_required,demand_supply_ratio,service,service_air_conditioner_repair,service_aircond_cleaning,service_carpet_cleaning,service_ceiling_repair,service_curtain_or_blind_installation,service_deep_cleaning,service_door_lock_repair,service_electrical_repair,service_electrical_safety_check,service_fire_extinguisher_servicing,service_furniture_assembly,service_gardening,service_gas_leak_detection,service_general_house_cleaning,service_home_organizing,service_house_moving,service_kitchen_remodeling,service_large_item_delivery,service_lawn_mowing,service_minor_welding_jobs,service_mounting,service_painting_touch_up_work,service_plumbing_services,service_post_renovation_cleaning,service_refrigerator_repair,service_roof_or_gutter_cleaning,service_small_item_delivery,service_sofa_or_mattress_cleaning,service_tiling_flooring,service_tree_cutting,service_washing_machine_repair,base_rate,price,order_placed,task_accepted,task_completed
1,104.82263691608934,0,1,0,4.0,0.7980122903567848,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,44.9,1,1,1
3,42.44241071823586,0,3,1,0.0,1.0572399648704143,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,195.39,1,1,1
2,23.059679669937818,0,0,0,4.0,1.4384948684070795,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,85.57,1,1,1
3,51.79409429756244,1,1,1,0.0,2.854671033893655,Minor Welding Jobs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,60,169.92,1,0,0
1,117.88671193207104,0,3,0,4.0,1.9726420409217558,Refrigerator Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,95.18,1,1,1
4,123.69644508271367,1,0,0,4.5,2.6568351490174513,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,81.62,1,1,1
2,22.90982328856784,1,2,1,4.0,0.763600668223529,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,140.82,1,1,1
1,140.7412808257286,0,3,1,0.0,1.0895793480544054,Refrigerator Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,95.57,1,1,1
3,162.9417094346332,1,1,1,0.0,0.6464709773355771,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,52.58,1,1,1
3,36.28525011196066,0,1,0,4.0,1.8541608502194202,Gas Leak Detection,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,111.68,1,1,1
2,160.43047696687452,0,1,0,0.0,2.0844871811067947,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,77.64,0,0,0
2,113.5787093965638,1,0,1,5.0,1.9500327404129687,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,126.26,0,0,0
5,2.8520907843915633,0,1,1,0.0,1.4474236941280805,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,313.05,1,1,1
4,130.90152194439656,1,3,0,0.0,2.546955764344295,Refrigerator Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,255.39,0,0,0
3,159.96774908724976,0,0,1,0.0,2.1881049239198043,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,101.99,1,1,1
5,146.0167689229796,1,2,0,0.0,2.173788645026578,Curtain or Blind Installation,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,193.33,0,0,0
4,164.52486767123628,1,1,0,0.0,1.1269849964415177,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,143.19,1,1,1
3,165.74280982071375,1,0,1,4.0,1.979217247115665,Door & Lock Repair,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,82.3,1,1,1
1,113.33414312080544,1,3,1,0.0,1.1124939839037613,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,84.96,0,0,0
4,15.156337816684244,0,0,0,0.0,2.475620278236268,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,139.79,0,0,0
4,164.9936981289511,1,3,0,4.5,2.049262385310282,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,296.4,0,0,0
2,88.51723120025999,1,0,1,4.0,1.764533512328407,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,96.53,1,1,1
4,73.92860680157492,0,1,0,0.0,0.8809039765877176,General House Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,71.33,1,1,1
4,167.09893780291569,0,1,1,4.5,2.5712379160455177,Door & Lock Repair,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,148.73,0,0,0
5,74.77875214506717,0,1,1,0.0,1.1990893054728378,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,216.84,1,1,1
3,60.43881074164797,1,0,1,0.0,2.6324888372557536,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,84.87,0,0,0
4,93.68435862890351,0,2,1,4.5,0.8287887734278203,Kitchen Remodeling,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85,349.15,1,1,1
3,136.24080192077125,0,0,0,4.0,2.9921629988893557,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,57.84,0,0,0
3,39.879414921830495,1,0,1,5.0,0.9267615898151417,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,74.15,1,1,1
2,107.29591661274132,0,1,0,0.0,0.725682734392977,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,47.82,1,0,0
3,132.3934749614229,0,0,0,4.5,2.136363096073456,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,72.09,1,1,1
4,163.23165595293972,1,1,0,0.0,1.6636679276111455,Carpet Cleaning,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,121.77,1,1,1
3,165.15789903551385,1,2,1,4.5,1.7749259307889595,House Moving,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,156.52,0,0,0
2,115.50853193537864,0,1,0,0.0,2.793695904196918,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,78.32,1,1,1
2,22.979321833752493,0,2,1,4.0,1.0886756064844234,Roof or Gutter Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,195.32,0,0,0
3,75.60391658435181,0,3,0,4.5,2.5572116933903035,Electrical Safety Check,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,133.87,0,0,0
5,51.78170613535702,1,0,1,0.0,1.8335211103719034,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,199.58,1,1,1
1,4.442869787681752,1,2,1,0.0,1.23077259689712,Air Conditioner Repair,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,136.38,0,0,0
5,132.8199610852684,0,2,0,0.0,0.8867353287775956,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,317.15,1,0,0
5,58.75574571960965,0,0,0,4.0,2.2158221929361273,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,221.93,1,1,1
4,89.46845568499396,1,1,1,4.5,1.617213294296417,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,107.77,1,1,1
5,77.6527247314784,0,2,1,4.5,1.7968604545141902,Home Organizing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,155.92,0,0,0
2,77.335189671565,1,3,0,4.0,1.570471872682224,Roof or Gutter Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,195.72,0,0,0
5,125.46634911800449,0,3,0,4.0,2.214669586377188,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,417.12,1,0,0
2,153.5395596114159,1,2,1,4.5,1.099990276405891,Deep Cleaning,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,127.97,0,0,0
2,142.55843795267415,1,0,0,0.0,1.675123140825729,Air Conditioner Repair,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58,121.94,1,1,1
2,89.70345860698423,1,2,1,4.5,2.972219588770497,Small Item Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,20,69.93,0,0,0
2,55.21153407028766,0,2,1,4.0,2.7093420257767047,Home Organizing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22,77.87,0,0,0
2,89.86245418181205,0,1,1,5.0,0.5235032970485274,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,95.43,1,1,1
5,165.40921683427086,0,2,0,4.5,2.890326897197334,Sofa or Mattress Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,36,247.13,0,0,0
3,121.27283637868939,1,3,0,4.5,2.520632964708046,Refrigerator Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,45,198.8,0,0,0
5,134.50688936162746,1,2,0,4.5,1.9415481401846144,Deep Cleaning,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,230.82,1,1,1
2,139.65798617357447,1,1,1,0.0,1.6762139290680862,Plumbing Services,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,60,177.3,0,0,0
1,59.57960700868948,0,0,1,0.0,2.860298878598053,House Moving,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,52.15,1,1,1
2,151.3523375352078,1,3,1,0.0,2.2203581195309807,Roof or Gutter Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,207.79,1,1,1
1,66.11614752297163,0,0,0,0.0,1.4687820512841467,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,40.31,1,1,1
4,158.75359241012376,0,3,0,0.0,1.3804080849603246,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,235.1,0,0,0
5,42.03124228235811,1,1,1,4.0,2.87212524550186,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,300.47,1,1,1
1,97.10136354301251,0,0,1,0.0,1.2180175056772775,Lawn Mowing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34,38.07,0,0,0
3,74.08583788612914,0,2,0,4.0,1.4029079706238137,Gardening,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28,77.21,1,1,1
4,37.48602160890285,1,3,1,4.0,2.8677520279068993,Tree Cutting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,48,329.31,0,0,0
4,163.4741408542995,1,3,1,4.5,2.460987119117699,Aircond Cleaning,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,40,249.28,1,1,1
5,31.20216553833437,0,3,0,0.0,0.7247877882780989,Roof or Gutter Cleaning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,313.96,1,1,1
3,103.80599004711188,1,2,0,5.0,2.9979842465292332,Furniture Assembly,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,111.77,1,1,1
2,52.24003931467352,1,0,1,0.0,0.9146318248825942,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,65.42,1,0,0
5,159.9564587355151,0,3,0,0.0,0.9196616238907467,Door & Lock Repair,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,236.8,1,1,1
3,19.629607822087298,0,3,0,0.0,1.8924367586600717,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,205.16,0,0,0
5,44.712981258026666,1,1,1,0.0,1.179393204057818,Washing Machine Repair,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,54,336.54,1,1,1
4,115.45665044019309,1,3,1,0.0,2.7043180439460204,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,228.19,0,0,0
5,156.53971206827265,0,1,0,0.0,0.7200073215618183,Mounting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,34,136.75,0,0,0
4,101.57767985320152,1,0,0,4.0,0.7964304775388573,Minor Welding Jobs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,60,143.66,0,0,0
3,147.6858063278808,0,1,0,0.0,1.961200962763982,Ceiling Repair,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,44,106.27,1,1,1
3,160.14696252216137,1,0,1,4.5,1.4341248988141024,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,95.16,1,1,1
5,3.3543223057085134,1,2,0,4.5,0.5521401034264044,Door & Lock Repair,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,258.43,0,0,0
2,32.056647154353904,1,0,0,4.0,1.8482671225369878,Painting & Touch-up Work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,42,88.87,1,1,1
