postal_code,street_name,lat,lon
18906,Straits Boulevard,1.2758,103.8496
18907,Straits Boulevard,1.2749,103.8517
18910,Marina Gardens Drive,1.2796,103.869
18915,Central Boulevard,1.2737,103.8601
18916,Central Boulevard,1.2798,103.8515
18925,Park Street,1.2764,103.8546
18926,Park Street,1.2763,103.8554
18927,Park Street,1.2752,103.8537
18928,Park Street,1.2777,103.8503
18929,Park Street,1.275,103.8552
18930,Marina South Drive,1.2754,103.867
18935,Straits View,1.2774,103.8528
18936,Straits View,1.2779,103.8529
18937,Straits View,1.2771,103.8523
18940,Marina Boulevard,1.2803,103.8562
18946,Marina Coastal Drive,1.27,103.8573
18947,Marina Coastal Drive,1.2661,103.8606
18948,Marina Coastal Drive,1.271,103.8624
18951,Marina Gardens Drive,1.2799,103.8705
18953,Marina Gardens Drive,1.2829,103.8649
18955,Bayfront Avenue,1.2841,103.8595
18956,Bayfront Avenue,1.2824,103.8584
18957,Bayfront Avenue,1.2819,103.8591
18958,Bayfront Avenue,1.2842,103.859
18959,Bayfront Avenue,1.2794,103.8587
18960,Marina View,1.2789,103.8512
18961,Marina View,1.2783,103.8509
18962,Marina View,1.2748,103.849
18965,Central Boulevard,1.2803,103.8521
18969,Central Boulevard,1.2794,103.8528
18971,Bayfront Avenue,1.284,103.8608
18972,Bayfront Avenue,1.2838,103.8587
18973,Bayfront Avenue,1.2852,103.86
18974,Bayfront Avenue,1.2862,103.8593
18978,Marina Way,1.2767,103.8533
18979,Marina Way,1.2772,103.8537
18980,Marina Boulevard,1.2796,103.855
18981,Marina Boulevard,1.2797,103.854
18982,Marina Boulevard,1.2791,103.8544
18983,Marina Boulevard,1.2795,103.8538
18984,Marina Boulevard,1.28,103.8539
18985,Marina Boulevard,1.2808,103.8527
18986,Marina Boulevard,1.2808,103.8527
18987,Marina Boulevard,1.2808,103.8527
18988,Marina Coastal Drive,1.2707,103.8632
18989,Marina Boulevard,1.2823,103.8526
19396,Marina Mall,1.2795,103.8682
19397,Marina Mall,1.275,103.8632
19800,Marina Green,1.2766,103.8648
29996,Marina East Drive,1.294,103.877
29997,Marina East Drive,1.2835,103.8779
38970,Republic Avenue,1.2996,103.8639
38975,Republic Boulevard,1.2914,103.8639
38980,Esplanade Drive,1.2866,103.8546
38981,Esplanade Drive,1.2901,103.8552
38982,Temasek Boulevard,1.2935,103.8588
38983,Temasek Boulevard,1.2951,103.8585
38985,Temasek Boulevard,1.2945,103.858
38986,Temasek Boulevard,1.2946,103.8597
38987,Temasek Boulevard,1.2954,103.8584
38988,Temasek Boulevard,1.2951,103.8596
38989,Temasek Boulevard,1.2956,103.859
39190,Temasek Avenue,1.2935,103.8603
39192,Temasek Avenue,1.2927,103.8603
39193,Temasek Avenue,1.2938,103.8605
39194,Temasek Avenue,1.2929,103.8609
39392,Raffles Link,1.2913,103.8562
39393,Raffles Link,1.2924,103.8551
39593,Raffles Boulevard,1.2935,103.8573
39594,Raffles Boulevard,1.2913,103.8575
39595,Raffles Boulevard,1.2924,103.8588
39596,Raffles Boulevard,1.2927,103.8596
39797,Raffles Avenue,1.2906,103.8585
39799,Raffles Avenue,1.2907,103.8601
39801,Raffles Avenue,1.2903,103.8591
39802,Raffles Avenue,1.2896,103.856
39803,Raffles Avenue,1.2897,103.8629
39805,Raffles Avenue,1.2892,103.859
48416,Cross Street,1.2821,103.8486
48417,Cross Street,1.2827,103.8482
48418,Cross Street,1.2816,103.8489
48421,Cross Street,1.2842,103.8467
48422,Cross Street,1.2837,103.8475
48423,Cross Street,1.2835,103.8469
48424,Cross Street,1.2824,103.849
48441,Telok Ayer Street,1.2829,103.8493
48462,Telok Ayer Street,1.2832,103.8488
48464,Telok Ayer Street,1.283,103.8487
48466,Telok Ayer Street,1.2827,103.8486
48467,Telok Ayer Street,1.2827,103.8486
48468,Telok Ayer Street,1.2827,103.8486
48469,Telok Ayer Street,1.2827,103.8486
48470,Telok Ayer Street,1.2827,103.8486
48471,Telok Ayer Street,1.2827,103.8486
48472,Telok Ayer Street,1.2827,103.8486
48473,Telok Ayer Street,1.2827,103.8486
48474,Telok Ayer Street,1.2825,103.8485
48508,South Canal Road,1.2858,103.8498
48542,Robinson Road,1.282,103.8511
48543,Robinson Road,1.2824,103.851
48544,Robinson Road,1.2823,103.8508
48545,Robinson Road,1.2821,103.8508
48547,Robinson Road,1.2819,103.8506
48580,Raffles Quay,1.2818,103.8514
48581,Raffles Quay,1.2814,103.8509
48582,Raffles Quay,1.2806,103.8504
48583,Raffles Quay,1.2812,103.8519
48616,Raffles Place,1.2843,103.8511
48617,Raffles Place,1.2834,103.8511
48618,Raffles Place,1.284,103.8515
48619,Raffles Place,1.2832,103.8507
48621,Raffles Place,1.2839,103.8521
48622,Raffles Place,1.2842,103.852
48623,Raffles Place,1.2847,103.8522
48624,Raffles Place,1.2854,103.8508
48625,Raffles Place,1.2834,103.8515
48658,Pickering Street,1.2852,103.8482
48659,Pickering Street,1.2848,103.8477
48660,Pickering Street,1.2843,103.8474
48692,Phillip Street,1.2849,103.85
48693,Phillip Street,1.2847,103.85
48694,Phillip Street,1.2845,103.8499
48695,Phillip Street,1.2844,103.8499
48696,Phillip Street,1.2846,103.8493
48761,Pekin Street,1.2836,103.8483
48762,Pekin Street,1.2836,103.8483
48763,Pekin Street,1.2836,103.8483
48764,Pekin Street,1.2836,103.8483
48765,Pekin Street,1.2836,103.8483
48766,Pekin Street,1.2836,103.8483
48767,Pekin Street,1.2836,103.8483
48768,Pekin Street,1.2836,103.8483
48769,Pekin Street,1.2836,103.8483
48770,Pekin Street,1.2836,103.8483
48772,Pekin Street,1.2832,103.8488
48773,Pekin Street,1.2832,103.8488
48774,Pekin Street,1.2832,103.8488
48775,Pekin Street,1.2832,103.8488
48776,Pekin Street,1.2832,103.8488
48777,Pekin Street,1.2832,103.8488
48778,Pekin Street,1.2832,103.8488
48779,Pekin Street,1.2832,103.8488
48780,Pekin Street,1.2832,103.8488
